,Confluence,Date,DrugConcentration,InitialCellNumber,ReplicateId,SeedingDensity,Time,WellId,CollectionFrequency,TimeInDays,CellLine
0,4.987531499999999,5/11/2019 3:41:00 PM,0,5000,1,lowDensity,0.0,A2,3,0,A2780s
1,4.5149815,5/11/2019 3:41:00 PM,1,5000,1,lowDensity,0.0,A3,3,0,A2780s
2,7.376627000000001,5/11/2019 3:41:00 PM,10,5000,1,lowDensity,0.0,A4,3,0,A2780s
3,6.233906,5/11/2019 3:41:00 PM,25,5000,1,lowDensity,0.0,A5,3,0,A2780s
4,5.628934,5/11/2019 3:41:00 PM,50,5000,1,lowDensity,0.0,A6,3,0,A2780s
5,5.0141615,5/11/2019 3:41:00 PM,100,5000,1,lowDensity,0.0,A7,3,0,A2780s
6,8.217803,5/11/2019 3:41:00 PM,0,5000,2,lowDensity,0.0,B2,3,0,A2780s
7,4.6688505,5/11/2019 3:41:00 PM,1,5000,2,lowDensity,0.0,B3,3,0,A2780s
8,9.0360425,5/11/2019 3:41:00 PM,10,5000,2,lowDensity,0.0,B4,3,0,A2780s
9,6.998854000000001,5/11/2019 3:41:00 PM,25,5000,2,lowDensity,0.0,B5,3,0,A2780s
10,4.41527,5/11/2019 3:41:00 PM,50,5000,2,lowDensity,0.0,B6,3,0,A2780s
11,5.584036,5/11/2019 3:41:00 PM,100,5000,2,lowDensity,0.0,B7,3,0,A2780s
12,11.615588,5/11/2019 3:41:00 PM,0,5000,3,lowDensity,0.0,C2,3,0,A2780s
13,7.013116500000001,5/11/2019 3:41:00 PM,1,5000,3,lowDensity,0.0,C3,3,0,A2780s
14,5.5931225,5/11/2019 3:41:00 PM,10,5000,3,lowDensity,0.0,C4,3,0,A2780s
15,8.8767525,5/11/2019 3:41:00 PM,25,5000,3,lowDensity,0.0,C5,3,0,A2780s
16,7.1635325,5/11/2019 3:41:00 PM,50,5000,3,lowDensity,0.0,C6,3,0,A2780s
17,5.1430215,5/11/2019 3:41:00 PM,100,5000,3,lowDensity,0.0,C7,3,0,A2780s
18,36.59943,5/11/2019 3:41:00 PM,0,75000,1,highDensity,0.0,D2,3,0,A2780s
