,Confluence,Date,DrugDose,InitialCellNumber,ReplicateId,SeedingDensity,Time,WellId,CollectionFrequency,TimeInDays,CellLine
0,5.019826999999999,5/11/2019 3:25:00 PM,0,5000,1,lowDensity,0.0,A2,1,0,A2780s
1,5.2739910000000005,5/11/2019 3:25:00 PM,1,5000,1,lowDensity,0.0,A3,1,0,A2780s
2,4.3889875,5/11/2019 3:25:00 PM,10,5000,1,lowDensity,0.0,A4,1,0,A2780s
3,9.0604315,5/11/2019 3:25:00 PM,25,5000,1,lowDensity,0.0,A5,1,0,A2780s
4,7.7292955,5/11/2019 3:25:00 PM,50,5000,1,lowDensity,0.0,A6,1,0,A2780s
5,6.1213445,5/11/2019 3:25:00 PM,100,5000,1,lowDensity,0.0,A7,1,0,A2780s
6,7.243075,5/11/2019 3:25:00 PM,0,5000,2,lowDensity,0.0,B2,1,0,A2780s
7,6.0956165,5/11/2019 3:25:00 PM,1,5000,2,lowDensity,0.0,B3,1,0,A2780s
8,6.9665955,5/11/2019 3:25:00 PM,10,5000,2,lowDensity,0.0,B4,1,0,A2780s
9,9.974128,5/11/2019 3:25:00 PM,25,5000,2,lowDensity,0.0,B5,1,0,A2780s
10,8.6344025,5/11/2019 3:25:00 PM,50,5000,2,lowDensity,0.0,B6,1,0,A2780s
11,5.559549,5/11/2019 3:25:00 PM,100,5000,2,lowDensity,0.0,B7,1,0,A2780s
12,5.8948105,5/11/2019 3:25:00 PM,0,5000,3,lowDensity,0.0,C2,1,0,A2780s
13,13.322457,5/11/2019 3:25:00 PM,1,5000,3,lowDensity,0.0,C3,1,0,A2780s
14,9.3901255,5/11/2019 3:25:00 PM,10,5000,3,lowDensity,0.0,C4,1,0,A2780s
15,13.045255000000001,5/11/2019 3:25:00 PM,25,5000,3,lowDensity,0.0,C5,1,0,A2780s
16,20.7235775,5/11/2019 3:25:00 PM,50,5000,3,lowDensity,0.0,C6,1,0,A2780s
17,4.7352305,5/11/2019 3:25:00 PM,100,5000,3,lowDensity,0.0,C7,1,0,A2780s
18,44.140675,5/11/2019 3:25:00 PM,0,75000,1,highDensity,0.0,D2,1,0,A2780s
19,59.602180000000004,5/11/2019 3:25:00 PM,1,75000,1,highDensity,0.0,D3,1,0,A2780s
20,75.23975,5/11/2019 3:25:00 PM,10,75000,1,highDensity,0.0,D4,1,0,A2780s
21,72.53023,5/11/2019 3:25:00 PM,25,75000,1,highDensity,0.0,D5,1,0,A2780s
22,61.069125,5/11/2019 3:25:00 PM,50,75000,1,highDensity,0.0,D6,1,0,A2780s
23,44.491395,5/11/2019 3:25:00 PM,100,75000,1,highDensity,0.0,D7,1,0,A2780s
24,42.73223,5/11/2019 3:25:00 PM,0,75000,2,highDensity,0.0,E2,1,0,A2780s
25,51.395790000000005,5/11/2019 3:25:00 PM,1,75000,2,highDensity,0.0,E3,1,0,A2780s
26,63.505415,5/11/2019 3:25:00 PM,10,75000,2,highDensity,0.0,E4,1,0,A2780s
27,57.531395,5/11/2019 3:25:00 PM,25,75000,2,highDensity,0.0,E5,1,0,A2780s
28,54.84192,5/11/2019 3:25:00 PM,50,75000,2,highDensity,0.0,E6,1,0,A2780s
29,51.038689999999995,5/11/2019 3:25:00 PM,100,75000,2,highDensity,0.0,E7,1,0,A2780s
30,51.59186,5/11/2019 3:25:00 PM,0,75000,3,highDensity,0.0,F2,1,0,A2780s
31,42.2512,5/11/2019 3:25:00 PM,1,75000,3,highDensity,0.0,F3,1,0,A2780s
32,45.705495,5/11/2019 3:25:00 PM,10,75000,3,highDensity,0.0,F4,1,0,A2780s
33,52.609995,5/11/2019 3:25:00 PM,25,75000,3,highDensity,0.0,F5,1,0,A2780s
34,46.939205,5/11/2019 3:25:00 PM,50,75000,3,highDensity,0.0,F6,1,0,A2780s
35,47.35732,5/11/2019 3:25:00 PM,100,75000,3,highDensity,0.0,F7,1,0,A2780s
36,11.872411,5/12/2019 6:35:00 PM,0,5000,1,lowDensity,27.1666666666667,A2,1,1,A2780s
37,12.405574999999999,5/12/2019 6:35:00 PM,1,5000,1,lowDensity,27.1666666666667,A3,1,1,A2780s
38,9.445112,5/12/2019 6:35:00 PM,10,5000,1,lowDensity,27.1666666666667,A4,1,1,A2780s
39,13.1136015,5/12/2019 6:35:00 PM,25,5000,1,lowDensity,27.1666666666667,A5,1,1,A2780s
40,12.435450000000001,5/12/2019 6:35:00 PM,50,5000,1,lowDensity,27.1666666666667,A6,1,1,A2780s
41,10.1286555,5/12/2019 6:35:00 PM,100,5000,1,lowDensity,27.1666666666667,A7,1,1,A2780s
42,19.177825,5/12/2019 6:35:00 PM,0,5000,2,lowDensity,27.1666666666667,B2,1,1,A2780s
43,14.556429999999999,5/12/2019 6:35:00 PM,1,5000,2,lowDensity,27.1666666666667,B3,1,1,A2780s
44,15.2677,5/12/2019 6:35:00 PM,10,5000,2,lowDensity,27.1666666666667,B4,1,1,A2780s
45,18.669245,5/12/2019 6:35:00 PM,25,5000,2,lowDensity,27.1666666666667,B5,1,1,A2780s
46,14.12115,5/12/2019 6:35:00 PM,50,5000,2,lowDensity,27.1666666666667,B6,1,1,A2780s
47,8.92538,5/12/2019 6:35:00 PM,100,5000,2,lowDensity,27.1666666666667,B7,1,1,A2780s
48,12.9965195,5/12/2019 6:35:00 PM,0,5000,3,lowDensity,27.1666666666667,C2,1,1,A2780s
49,24.426745,5/12/2019 6:35:00 PM,1,5000,3,lowDensity,27.1666666666667,C3,1,1,A2780s
50,18.6899,5/12/2019 6:35:00 PM,10,5000,3,lowDensity,27.1666666666667,C4,1,1,A2780s
51,22.032510000000002,5/12/2019 6:35:00 PM,25,5000,3,lowDensity,27.1666666666667,C5,1,1,A2780s
52,18.836395,5/12/2019 6:35:00 PM,50,5000,3,lowDensity,27.1666666666667,C6,1,1,A2780s
53,7.728502,5/12/2019 6:35:00 PM,100,5000,3,lowDensity,27.1666666666667,C7,1,1,A2780s
54,78.430055,5/12/2019 6:35:00 PM,0,75000,1,highDensity,27.1666666666667,D2,1,1,A2780s
55,90.066135,5/12/2019 6:35:00 PM,1,75000,1,highDensity,27.1666666666667,D3,1,1,A2780s
56,94.12799000000001,5/12/2019 6:35:00 PM,10,75000,1,highDensity,27.1666666666667,D4,1,1,A2780s
57,88.88877,5/12/2019 6:35:00 PM,25,75000,1,highDensity,27.1666666666667,D5,1,1,A2780s
58,81.38432499999999,5/12/2019 6:35:00 PM,50,75000,1,highDensity,27.1666666666667,D6,1,1,A2780s
59,60.698525000000004,5/12/2019 6:35:00 PM,100,75000,1,highDensity,27.1666666666667,D7,1,1,A2780s
60,80.58503999999999,5/12/2019 6:35:00 PM,0,75000,2,highDensity,27.1666666666667,E2,1,1,A2780s
61,85.698635,5/12/2019 6:35:00 PM,1,75000,2,highDensity,27.1666666666667,E3,1,1,A2780s
62,89.04075,5/12/2019 6:35:00 PM,10,75000,2,highDensity,27.1666666666667,E4,1,1,A2780s
63,79.973585,5/12/2019 6:35:00 PM,25,75000,2,highDensity,27.1666666666667,E5,1,1,A2780s
64,75.966375,5/12/2019 6:35:00 PM,50,75000,2,highDensity,27.1666666666667,E6,1,1,A2780s
65,67.42608,5/12/2019 6:35:00 PM,100,75000,2,highDensity,27.1666666666667,E7,1,1,A2780s
66,84.302615,5/12/2019 6:35:00 PM,0,75000,3,highDensity,27.1666666666667,F2,1,1,A2780s
67,77.641705,5/12/2019 6:35:00 PM,1,75000,3,highDensity,27.1666666666667,F3,1,1,A2780s
68,71.16883,5/12/2019 6:35:00 PM,10,75000,3,highDensity,27.1666666666667,F4,1,1,A2780s
69,76.29094,5/12/2019 6:35:00 PM,25,75000,3,highDensity,27.1666666666667,F5,1,1,A2780s
70,67.99728999999999,5/12/2019 6:35:00 PM,50,75000,3,highDensity,27.1666666666667,F6,1,1,A2780s
71,65.70776500000001,5/12/2019 6:35:00 PM,100,75000,3,highDensity,27.1666666666667,F7,1,1,A2780s
72,18.7062765,5/13/2019 3:49:00 PM,0,5000,1,lowDensity,48.4,A2,1,2,A2780s
73,17.1831815,5/13/2019 3:49:00 PM,1,5000,1,lowDensity,48.4,A3,1,2,A2780s
74,13.780735,5/13/2019 3:49:00 PM,10,5000,1,lowDensity,48.4,A4,1,2,A2780s
75,11.2247865,5/13/2019 3:49:00 PM,25,5000,1,lowDensity,48.4,A5,1,2,A2780s
76,8.840522,5/13/2019 3:49:00 PM,50,5000,1,lowDensity,48.4,A6,1,2,A2780s
77,5.970551500000001,5/13/2019 3:49:00 PM,100,5000,1,lowDensity,48.4,A7,1,2,A2780s
78,30.521724999999996,5/13/2019 3:49:00 PM,0,5000,2,lowDensity,48.4,B2,1,2,A2780s
79,22.461354999999998,5/13/2019 3:49:00 PM,1,5000,2,lowDensity,48.4,B3,1,2,A2780s
80,18.810685,5/13/2019 3:49:00 PM,10,5000,2,lowDensity,48.4,B4,1,2,A2780s
81,18.01285,5/13/2019 3:49:00 PM,25,5000,2,lowDensity,48.4,B5,1,2,A2780s
82,12.0813635,5/13/2019 3:49:00 PM,50,5000,2,lowDensity,48.4,B6,1,2,A2780s
83,6.0730965,5/13/2019 3:49:00 PM,100,5000,2,lowDensity,48.4,B7,1,2,A2780s
84,18.972905,5/13/2019 3:49:00 PM,0,5000,3,lowDensity,48.4,C2,1,2,A2780s
85,34.182445,5/13/2019 3:49:00 PM,1,5000,3,lowDensity,48.4,C3,1,2,A2780s
86,25.894095,5/13/2019 3:49:00 PM,10,5000,3,lowDensity,48.4,C4,1,2,A2780s
87,27.803925,5/13/2019 3:49:00 PM,25,5000,3,lowDensity,48.4,C5,1,2,A2780s
88,15.115395000000001,5/13/2019 3:49:00 PM,50,5000,3,lowDensity,48.4,C6,1,2,A2780s
89,4.845062,5/13/2019 3:49:00 PM,100,5000,3,lowDensity,48.4,C7,1,2,A2780s
90,93.306425,5/13/2019 3:49:00 PM,0,75000,1,highDensity,48.4,D2,1,2,A2780s
91,97.901155,5/13/2019 3:49:00 PM,1,75000,1,highDensity,48.4,D3,1,2,A2780s
92,97.785045,5/13/2019 3:49:00 PM,10,75000,1,highDensity,48.4,D4,1,2,A2780s
93,89.45689000000002,5/13/2019 3:49:00 PM,25,75000,1,highDensity,48.4,D5,1,2,A2780s
94,81.787865,5/13/2019 3:49:00 PM,50,75000,1,highDensity,48.4,D6,1,2,A2780s
95,48.155024999999995,5/13/2019 3:49:00 PM,100,75000,1,highDensity,48.4,D7,1,2,A2780s
96,96.04575,5/13/2019 3:49:00 PM,0,75000,2,highDensity,48.4,E2,1,2,A2780s
97,97.18318,5/13/2019 3:49:00 PM,1,75000,2,highDensity,48.4,E3,1,2,A2780s
98,96.16065,5/13/2019 3:49:00 PM,10,75000,2,highDensity,48.4,E4,1,2,A2780s
99,80.947385,5/13/2019 3:49:00 PM,25,75000,2,highDensity,48.4,E5,1,2,A2780s
100,75.50954999999999,5/13/2019 3:49:00 PM,50,75000,2,highDensity,48.4,E6,1,2,A2780s
101,62.05902,5/13/2019 3:49:00 PM,100,75000,2,highDensity,48.4,E7,1,2,A2780s
102,91.2325,5/13/2019 3:49:00 PM,0,75000,3,highDensity,48.4,F2,1,2,A2780s
103,89.5758,5/13/2019 3:49:00 PM,1,75000,3,highDensity,48.4,F3,1,2,A2780s
104,70.33431999999999,5/13/2019 3:49:00 PM,10,75000,3,highDensity,48.4,F4,1,2,A2780s
105,67.47017,5/13/2019 3:49:00 PM,25,75000,3,highDensity,48.4,F5,1,2,A2780s
106,63.78889,5/13/2019 3:49:00 PM,50,75000,3,highDensity,48.4,F6,1,2,A2780s
107,51.57787,5/13/2019 3:49:00 PM,100,75000,3,highDensity,48.4,F7,1,2,A2780s
108,34.2353,5/14/2019 2:14:00 PM,0,5000,1,lowDensity,70.8166666666667,A2,1,3,A2780s
109,31.29943,5/14/2019 2:14:00 PM,1,5000,1,lowDensity,70.8166666666667,A3,1,3,A2780s
110,21.09855,5/14/2019 2:14:00 PM,10,5000,1,lowDensity,70.8166666666667,A4,1,3,A2780s
111,16.714669999999998,5/14/2019 2:14:00 PM,25,5000,1,lowDensity,70.8166666666667,A5,1,3,A2780s
112,11.210076,5/14/2019 2:14:00 PM,50,5000,1,lowDensity,70.8166666666667,A6,1,3,A2780s
113,7.2859300000000005,5/14/2019 2:14:00 PM,100,5000,1,lowDensity,70.8166666666667,A7,1,3,A2780s
114,53.378365,5/14/2019 2:14:00 PM,0,5000,2,lowDensity,70.8166666666667,B2,1,3,A2780s
115,39.33999,5/14/2019 2:14:00 PM,1,5000,2,lowDensity,70.8166666666667,B3,1,3,A2780s
116,28.951569999999997,5/14/2019 2:14:00 PM,10,5000,2,lowDensity,70.8166666666667,B4,1,3,A2780s
117,27.777585,5/14/2019 2:14:00 PM,25,5000,2,lowDensity,70.8166666666667,B5,1,3,A2780s
118,15.467648,5/14/2019 2:14:00 PM,50,5000,2,lowDensity,70.8166666666667,B6,1,3,A2780s
119,7.257714,5/14/2019 2:14:00 PM,100,5000,2,lowDensity,70.8166666666667,B7,1,3,A2780s
120,38.000730000000004,5/14/2019 2:14:00 PM,0,5000,3,lowDensity,70.8166666666667,C2,1,3,A2780s
121,59.267149999999994,5/14/2019 2:14:00 PM,1,5000,3,lowDensity,70.8166666666667,C3,1,3,A2780s
122,38.6819,5/14/2019 2:14:00 PM,10,5000,3,lowDensity,70.8166666666667,C4,1,3,A2780s
123,37.694015,5/14/2019 2:14:00 PM,25,5000,3,lowDensity,70.8166666666667,C5,1,3,A2780s
124,18.51673,5/14/2019 2:14:00 PM,50,5000,3,lowDensity,70.8166666666667,C6,1,3,A2780s
125,6.4488345,5/14/2019 2:14:00 PM,100,5000,3,lowDensity,70.8166666666667,C7,1,3,A2780s
126,98.99307999999999,5/14/2019 2:14:00 PM,0,75000,1,highDensity,70.8166666666667,D2,1,3,A2780s
