,Date,DrugConcentration,Flank,MouseId,Time,TreatmentBranch,Volume
0,2019/12/11,0.0,Right,31,0,Ctrl,12.3
1,2019/12/12,0.0,Right,31,1,Ctrl,
2,2019/12/13,0.0,Right,31,2,Ctrl,7.0
3,2019/12/14,0.0,Right,31,3,Ctrl,
4,2019/12/15,0.0,Right,31,4,Ctrl,
5,2019/12/16,0.0,Right,31,5,Ctrl,24.7
6,2019/12/17,0.0,Right,31,6,Ctrl,
7,2019/12/18,0.0,Right,31,7,Ctrl,29.1
8,2019/12/19,0.0,Right,31,8,Ctrl,
9,2019/12/20,0.0,Right,31,9,Ctrl,44.7
10,2019/12/21,0.0,Right,31,10,Ctrl,
11,2019/12/22,0.0,Right,31,11,Ctrl,
12,2019/12/23,0.0,Right,31,12,Ctrl,31.8
13,2019/12/24,0.0,Right,31,13,Ctrl,
14,2019/12/25,0.0,Right,31,14,Ctrl,
15,2019/12/26,0.0,Right,31,15,Ctrl,
16,2019/12/27,0.0,Right,31,16,Ctrl,9.4
17,2019/12/28,0.0,Right,31,17,Ctrl,
18,2019/12/29,0.0,Right,31,18,Ctrl,
19,2019/12/30,0.0,Right,31,19,Ctrl,40.0
20,2019/12/31,0.0,Right,31,20,Ctrl,65.3
21,2020/01/01,0.0,Right,31,21,Ctrl,
22,2020/01/02,0.0,Right,31,22,Ctrl,50.0
23,2020/01/03,0.0,Right,31,23,Ctrl,63.4
24,2020/01/04,0.0,Right,31,24,Ctrl,
25,2020/01/05,0.0,Right,31,25,Ctrl,
26,2020/01/06,0.0,Right,31,26,Ctrl,90.3
27,2020/01/07,0.0,Right,31,27,Ctrl,
28,2020/01/08,0.0,Right,31,28,Ctrl,79.1
29,2020/01/09,0.0,Right,31,29,Ctrl,
30,2020/01/10,0.0,Right,31,30,Ctrl,106.1
31,2020/01/11,0.0,Right,31,31,Ctrl,
32,2020/01/12,0.0,Right,31,32,Ctrl,
33,2020/01/13,0.0,Right,31,33,Ctrl,106.0
34,2020/01/14,0.0,Right,31,34,Ctrl,
35,2020/01/15,0.0,Right,31,35,Ctrl,171.0
36,2020/01/16,0.0,Right,31,36,Ctrl,
37,2020/01/17,0.0,Right,31,37,Ctrl,199.8
38,2020/01/18,0.0,Right,31,38,Ctrl,
39,2020/01/19,0.0,Right,31,39,Ctrl,
40,2020/01/20,0.0,Right,31,40,Ctrl,180.7
41,2020/01/21,0.0,Right,31,41,Ctrl,
42,2020/01/22,0.0,Right,31,42,Ctrl,187.9
43,2020/01/23,0.0,Right,31,43,Ctrl,
44,2020/01/24,0.0,Right,31,44,Ctrl,250.6
45,2020/01/25,0.0,Right,31,45,Ctrl,
46,2020/01/26,0.0,Right,31,46,Ctrl,
47,2020/01/27,0.0,Right,31,47,Ctrl,247.7
48,2020/01/28,0.0,Right,31,48,Ctrl,
49,2020/01/29,0.0,Right,31,49,Ctrl,342.4
50,2020/01/30,0.0,Right,31,50,Ctrl,
51,2020/01/31,0.0,Right,31,51,Ctrl,328.6
52,2020/02/01,0.0,Right,31,52,Ctrl,
53,2020/02/02,0.0,Right,31,53,Ctrl,
54,2020/02/03,0.0,Right,31,54,Ctrl,436.1
55,2020/02/04,0.0,Right,31,55,Ctrl,
56,2020/02/05,0.0,Right,31,56,Ctrl,457.0
57,2020/02/06,0.0,Right,31,57,Ctrl,
