,nBreaks,reductionFactor,FinalSize,FinalSize_relative,FractionProgressed,FractionControlled
0,0,0.0,1.6429897592919503e-07,3.2859795185839004e-08,0.0,1.0
1,5,0.0,1.6429897592919503e-07,3.2859795185839004e-08,0.0,1.0
2,10,0.0,1.6429897592919503e-07,3.2859795185839004e-08,0.0,1.0
3,25,0.0,1.6429897592919503e-07,3.2859795185839004e-08,0.0,1.0
4,0,0.05,1.6556314277939813e-07,3.3112628555879626e-08,0.0,1.0
5,5,0.05,2.0126264197260605e-07,4.025252839452121e-08,0.0,1.0
6,10,0.05,2.3323018748343153e-07,4.6646037496686305e-08,0.0,1.0
7,25,0.05,2.635654222557484e-07,5.2713084451149683e-08,0.0,1.0
8,0,0.1,1.6709741742498733e-07,3.341948348499747e-08,0.0,1.0
9,5,0.1,5.295790013856988e-07,1.0591580027713977e-07,0.0,1.0
10,10,0.1,7.623958313497545e-07,1.524791662699509e-07,0.0,1.0
11,25,0.1,9.936579939989022e-07,1.9873159879978045e-07,0.0,1.0
12,0,0.15,1.689846471305838e-07,3.379692942611676e-08,0.0,1.0
13,5,0.15,1.3487736575400013e-05,2.6975473150800025e-06,0.0,1.0
14,10,0.15,2.453720244586439e-05,4.907440489172878e-06,0.0,1.0
15,25,0.15,3.670337090239732e-05,7.3406741804794645e-06,0.0,1.0
16,0,0.2,1.713426108611249e-07,3.426852217222498e-08,0.0,1.0
17,5,0.2,0.00152173555267675,0.00030434711053535003,0.0,1.0
18,10,0.2,0.003119162514288941,0.0006238325028577881,0.0,1.0
19,25,0.2,0.005245702159901888,0.0010491404319803777,0.0,1.0
20,0,0.25,1.7434378312509459e-07,3.4868756625018916e-08,0.0,1.0
21,5,0.25,0.30916860395675433,0.06183372079135087,1.0,0.0
22,10,0.25,0.5957975449878814,0.11915950899757628,1.0,0.0
23,25,0.25,1.078695041042032,0.21573900820840639,1.0,0.0
24,0,0.3,1.7824991210888748e-07,3.5649982421777494e-08,0.0,1.0
25,5,0.3,96.80986482708211,19.36197296541642,1.0,0.0
26,10,0.3,94.99837326398514,18.99967465279703,1.0,0.0
27,25,0.3,87.67986520775088,17.535973041550175,1.0,0.0
28,0,0.35,1.8347605854987454e-07,3.6695211709974907e-08,0.0,1.0
29,5,0.35,98.63260359271572,19.726520718543146,1.0,0.0
30,10,0.35,98.27389112000569,19.654778224001138,1.0,0.0
31,25,0.35,97.5625244428279,19.51250488856558,1.0,0.0
32,0,0.4,1.907179077575215e-07,3.81435815515043e-08,0.0,1.0
33,5,0.4,98.68539063919621,19.737078127839244,1.0,0.0
34,10,0.4,98.64552163399138,19.729104326798275,1.0,0.0
35,25,0.4,98.48325478186551,19.6966509563731,1.0,0.0
36,0,0.45,2.0122895178813207e-07,4.024579035762641e-08,0.0,1.0
37,5,0.45,98.75241837559018,19.750483675118037,1.0,0.0
38,10,0.45,98.7258056356269,19.745161127125378,1.0,0.0
39,25,0.45,98.68649524509323,19.737299049018645,1.0,0.0
40,0,0.5,2.175016160996898e-07,4.350032321993796e-08,0.0,1.0
41,5,0.5,98.75547227406098,19.751094454812197,1.0,0.0
42,10,0.5,98.74742936060608,19.749485872121216,1.0,0.0
43,25,0.5,98.73764352961769,19.747528705923536,1.0,0.0
44,0,0.55,2.4525087889543205e-07,4.905017577908641e-08,0.0,1.0
45,5,0.55,98.7557110903533,19.75114221807066,1.0,0.0
46,10,0.55,98.75440037351703,19.750880074703407,1.0,0.0
47,25,0.55,98.75110777411057,19.75022155482211,1.0,0.0
48,0,0.6,3.008851965727732e-07,6.017703931455464e-08,0.0,1.0
49,5,0.6,98.75577854103403,19.751155708206806,1.0,0.0
50,10,0.6,98.75562557276527,19.751125114553055,1.0,0.0
51,25,0.6,98.75464275854141,19.75092855170828,1.0,0.0
52,0,0.65,4.550531341712003e-07,9.101062683424006e-08,0.0,1.0
53,5,0.65,98.75580166276215,19.75116033255243,1.0,0.0
54,10,0.65,98.75578328278252,19.751156656556503,1.0,0.0
55,25,0.65,98.75551784427319,19.75110356885464,1.0,0.0
56,0,0.7,1.4406252134217234e-06,2.881250426843447e-07,0.0,1.0
57,5,0.7,98.75580958531413,19.751161917062824,1.0,0.0
58,10,0.7,98.75580688448784,19.751161376897567,1.0,0.0
59,25,0.7,98.75573521448634,19.751147042897266,1.0,0.0
60,0,0.75,6.719433703735719e-05,1.3438867407471438e-05,0.0,1.0
61,5,0.75,98.75581225676471,19.751162451352943,1.0,0.0
62,10,0.75,98.75581183402163,19.751162366804326,1.0,0.0
63,25,0.75,98.75579262874861,19.751158525749723,1.0,0.0
64,0,0.8,0.4196302847787653,0.08392605695575306,0.0,1.0
65,5,0.8,98.75581313924718,19.751162627849435,1.0,0.0
66,10,0.8,98.75581309355081,19.75116261871016,1.0,0.0
67,25,0.8,98.75580826934723,19.751161653869445,1.0,0.0
68,0,0.85,97.83277922895763,19.566555845791527,1.0,0.0
69,5,0.85,98.75581342192517,19.751162684385033,1.0,0.0
70,10,0.85,98.75581342795604,19.751162685591208,1.0,0.0
71,25,0.85,98.75581237099608,19.751162474199216,1.0,0.0
72,0,0.9,98.75362297029636,19.75072459405927,1.0,0.0
73,5,0.9,98.75581350831035,19.75116270166207,1.0,0.0
74,10,0.9,98.75581351430841,19.751162702861684,1.0,0.0
75,25,0.9,98.75581332981344,19.75116266596269,1.0,0.0
76,0,0.95,98.75581324816807,19.751162649633613,1.0,0.0
77,5,0.95,98.75581353281065,19.75116270656213,1.0,0.0
78,10,0.95,98.75581353484262,19.751162706968522,1.0,0.0
79,25,0.95,98.75581351443311,19.751162702886624,1.0,0.0
