,Parameter,Value,PerturbationSize,SizeDifference
0,r,0.3516680700074764,-0.25,1.2047860756564788
1,r,0.39855714600847325,-0.15,0.9122183750378378
2,r,0.4454462220094701,-0.04999999999999999,0.6873268437483846
3,r,0.492335298010467,0.050000000000000044,0.5160846411972878
4,r,0.5392243740114638,0.15000000000000002,0.38657450876388755
5,r,0.5861134500124607,0.25,0.2891011083472151
6,v,1.9524997746910384,-0.25,0.6219946224094236
7,v,2.2128330779831766,-0.15,0.6066439222393606
8,v,2.473166381275315,-0.04999999999999999,0.5983871734594406
9,v,2.733499684567454,0.050000000000000044,0.59387783166478
10,v,2.9938329878595917,0.15000000000000002,0.5913917550743799
11,v,3.2541662911517304,0.25,0.5900130328145432
12,d_A,0.08187359921389169,-0.25,0.8411451656146254
13,d_A,0.09279007910907724,-0.15,0.7205787592382205
14,d_A,0.1037065590042628,-0.04999999999999999,0.6318137243597943
15,d_A,0.11462303889944837,0.050000000000000044,0.5641010729197321
16,d_A,0.1255395187946339,0.15000000000000002,0.5110418898291106
17,d_A,0.13645599868981947,0.25,0.4685890073064744
18,alpha,0.5221219126629836,-0.25,95.6367869145826
19,alpha,0.5917381676847147,-0.15,98.06160832173678
20,alpha,0.6613544227064458,-0.04999999999999999,53.426707436448496
21,alpha,0.730970677728177,0.050000000000000044,0.01007174780189654
22,alpha,0.8005869327499081,0.15000000000000002,5.539233687437488e-06
23,alpha,0.8702031877716393,0.25,8.03955829670712e-08
24,phi,1.066748230098959,-0.25,0.5396843357785258
25,phi,1.2089813274454868,-0.15,0.5620224584126498
26,phi,1.3512144247920148,-0.04999999999999999,0.5845013245237559
27,phi,1.4934475221385426,0.050000000000000044,0.6071332710181541
28,phi,1.6356806194850704,0.15000000000000002,0.6299311993848216
29,phi,1.7779137168315984,0.25,0.652908601689035
30,n,1.7659581107199251,-0.25,2.484991036905308
31,n,2.0014191921492483,-0.15,1.138390347118485
32,n,2.2368802735785716,-0.04999999999999999,0.7033834039730275
33,n,2.472341355007895,0.050000000000000044,0.523123257697085
34,n,2.707802436437218,0.15000000000000002,0.4362315931347875
35,n,2.9432635178665416,0.25,0.3902990873957248
36,EC50,9.251506514235333,-0.25,0.4442407636109208
37,EC50,10.485040716133376,-0.15,0.49294283363754715
38,EC50,11.71857491803142,-0.04999999999999999,0.5567777165003902
39,EC50,12.952109119929466,0.050000000000000044,0.6405292469785804
40,EC50,14.185643321827508,0.15000000000000002,0.7509362859058748
41,EC50,15.419177523725553,0.25,0.8976018539063573
